上海鹤奔物流有限公司,"上海鹤奔物流有限公司是专业第三方物物流,整车,零担,全国货运."
上海快列通物流有限公司,上海快列通物流有限公司位于上海新龙华火车站内。多年来，在上海铁路分局的领导下与铁路新龙华运输服务所联合开辟了上海至成都、重庆、昆明、贵阳、乌鲁木齐五条铁路快运专线。我们本着：力争速度、确保安全、方便客户的服务宗旨。在上海及周边地区赢得了广大客户的信赖，货运量日增月涨。目前每天五个去向的终端都设有办事机构，为客户做到门对门服务。随着经济形势的继续发展，我们将与广大货运同行及货主单位共同努力奋斗，为振兴上海经济作出贡献。
上海新邦物流有限公司,新邦物流有限公司2003年6月18日成立，现已发展成为集汽车运输、代理国内航空货运出港、城际配送于一体，跨区域、网络化、信息化、智能化的综合性物流公司。新邦目前以汽车运输和航空货运为主，兼顾发展配送等其他物流业务。现旗下拥有10家全资子公司，100多个分公司及营业部门，员工3000多人，拥有和整合各种运输车辆600多台，物流设备300多套，仓库、分拨场地10万平方米；年吞吐能力100万吨。新邦在全国20多个省、市、自治区近200个大中城市建立了合作网络公司，与国内外10000多家企业建立了长期的合作关系。2008开始，公司继续以公路运输为核心业务，全面提升市场占有率，增加服务附加值，拓展服务领域，向以汽运为主，航空运输、城际配送等多元业务同步协调发展的运输新格局迈进。从2008到2010年，新邦将在国内10个中心城市建造现代化的物流配送中心，在100个城市设立分公司及营业部，服务网点达到1000个，网络覆盖500个城市，全面实现网络化、信息化。
上海龙飞国际物流有限公司,上海龙飞为中-日合资企业，在日本航线的进、出口方面有着十分突出的优势，主要表现在：A.战略方针明确，目标市场定位清晰上海龙飞在成立之初就明确发展日本线是战略重点，于是派出精兵强将全力开拓，并以直接客户为目标市场，通过与代理间的精诚合作，全方位地为中-日间的直接客户提供海运、空运、出口集拼、进口分拔、散货运输服务。B.日本代理强龙飞仅在日本就有超过10家各具特点的代理。上海龙飞根据各家代理的特点进行业务合作，取得了优势互补、取长补短、相得益彰的效果。这一优势是上海龙飞独有的，其它任何一家都无法比拟的。上海龙飞自成立以来就为富士胶卷、健伍音响、NEC电子等世界知名的大公司在提供物流服务。这些客户的普遍特点是货量大、单据复杂、要求高，且进、出口装运港遍布世界各地。鉴于以上的特点，上海龙飞打破按航线替客户提供服务的习惯，专门成立了VIPTEAM，针对，VIP客户，提供专人负责。一站式的服务，客户只针对龙飞的专人，既可得到全部需要之服务简捷方便，利于沟通，效率高，深得VIP客户的肯定。上海龙飞另一独一无二的优势是整厂项目出口搬迁运输服务，主要是在经贸部及非洲各国（主要是南非）贸工部所属机构的配合下，将中国一些已经过时及在非洲有竞争力的整厂或项目，包装出运到非洲。此项目业务需要有精熟的运输专业知识及统筹计划安排能力。我司自招标成功以来，一直操作顺利。
上海市华商纵横物流投资有限公司,"商纵横物流投资有限公司于1998年在厦门成立。基于“华商物流，纵横全球”之使命，致力于现代物流业的投资与管理。高起点的企业定位和高标准的服务理理念，使华商物流通过合资、并购以及建立联盟等方式，迅速发展成为中国知名物流企业集团。通过为客户提供卓越的服务与增值的价值，打造出“华商物流”的“金字招牌”。我们拥有一支强有力的经营管理团队和专业的物流专家队伍，凭借完善的物流设施和物流网络平台，以及优质的服务水准，为国内外客户提供卓越的一条龙、专业化物流服务。我们将致力于提高服务质量、准时服务率及对客户的应答速度。我们还将更多地倾听客户以更清晰地了解客户需求。从一个优秀地公司发展成为一个杰出的公司将是我们不变的追求。我们对未来充满信息，也对我们在该市场占领先地位充满信心。强大的国内网络华商物流下属的联合物流有限公司已经在上海、北京、厦门、广州、深圳、大连、天津、青岛、宁波、福州、重庆、成都、武汉、长沙和苏州等近三十个大中口岸城市设立了分支机构，以及在其他内地大城市设立了代理网点，构筑成纵横交错的一体化中国物流网络。先进的信息系统华商物流十分重视企业物流信息平台的建设，现已实现24小时实时在线查询，通过动态管理，全面观察及控制整个物流系统的运行情况，使各项信息流处于最佳状态。专业的团队华商物流高度重视专业人才的培育和吸纳，现已拥有2000多名物流专业人员的人才队伍。船舶代理服务华商物流下属的厦门联合国际船舶代理有限公司还打出了“做专家型的船代、提供个性化服务”的响亮口号，并已成为SITC、HYUNDAI、NYK、CMA、CNC、YANGMING、HamburgSud、MARUBA、APL、RCL、NORASIA、WANHAI、YI-TONGMARITIMES.APANAMA等知名承运人的船舶代理。贸易代理服务在中国进出口贸易仍然实行管制的情况下，作为已拥有贸易进出口权经营的利盈达企业有限公司，并不直接经营进出口贸易，而是致力于为华商物流的广大国内外客户提供贸易平台，从而服务于华商物流整个物流供应链。物流设施投资下属厦门海投物流有限公司是厦门市重点物流企业之一，现有总资产近800万美金,投入经营的集装箱堆场总面积50000平方,仓库建筑面积3000平方,是海关的监管场站，为好又多、可口可乐、LG等知名品牌在福建区的仓储配送提供服务。其目前在规划发展中的海投物流园区占地面积40万平方米，内有石化产品分拨中心，厦门进口石材物流中心，福建家用电器物流中心，进口废纸分拨中心，是福建省现有最大规模的物流设施。其下属公司--厦门嘉功物流有限公司拥有8万平方米的土地及1万平方米的现代化仓库。华商物流是您可信赖的合作伙伴!"
物流,
长江物流发展,关于我们长江物流发展”是“长江经济联合发展集团现代物流产业板块”的简称，是长发集团控股上市公司“长江投资（600119）”主营业务板块。“长江物流发展”的组建，是顺应国务院整合沿长江流域城市物流资源的战略决策、以及上海市政府“十一五”规划中关于重点发展现代物流产业的战略需求，旨在为国内外企业提供包括口岸物流在内的全程物流服务。“长江物流发展”旗下拥有8家现代物流企业，业务范围覆盖国际海运、国际空运、国际快递、仓储及加工、精品物流配送、国内物流快递、现代化综合物流园区、陆上货运公共信息平台、城市配送（详见各业务板块），各产业板块之间既相对独立又互相衔接，形成一个以资源共享、优势互补为特点的现代物流产业群。“长江物流发展”以“互利双赢”作为经营原则；以“客户为本”作为服务理念；以“整体服务”作为服务方式；以“专业团队”作为服务保证；以“信息技术”作为服务保障；以“服务意识”贯穿企业文化，为广大客户提供跨国家、跨地区、跨行业、高效有序的现代物流服务。
上海龙亨物流有限公司,"上海龙亨物流有限公司创建于2005年，本公司主要以上海至全国各地零担、整车公路运输、展览来回运输、大件运输、长途搬家为一体的第三方物流货物运输服务性企业，拥有2-30吨车辆有60余台，可调度车辆近200余台，并配有超过3000平方米的标准大型仓库和近6000平方米的场地为长期客户仓储。承接全国各地整车零担货物运输等货运服务。提供门到门点到点的服务，一票到底，保价货物货损、货丢按保价赔偿。上海龙亨物流主要从事国内物流仓储，运输.结算为一体的第三方物流服务供应商。公司拥有宽大的信息网和先进的INTERNET物流管理系统运输各种货物、仓储设备配置精良、已建成一支高素质专业化且具有多年仓储；配送、运输、操作经验的现代化物流队伍，可根据客户具体特点，设计策划”个性化”物流配送方案，并提供全过程全方位全天候的综合物流方案。不仅提供各地区，各类型客户需求的信息交递平台，而且还提供从生产、销售到市场跟踪的信息网络服务。上海龙亨物流有限公司坚持以“安全快捷,信誉第一”的服务理念.坚持以“安全高效准确即时”为服务目标，逐步实施现代科学物流发展战略，业务配送以上海为中心，面对东北三省，借助自身货运专线辐射全国，目前已为多家大型零售商.采购商和知名产品制造商提供最优质的物流服务.公司成立至今得到了飞速的发展，客户类型有化工.电子器材.家具.机械.电器.等产品.已承载了多家大型公司的运输业务."
上海树典阀门进口球阀,
上海荆铎物流有限公司,
上海雪伟物流运输有限公司,
上海辰远国际货物运输代理有限公司,
上海禄烨国际货运,
上海精鲲国际物流代理公司,"上海精鲲国际货运代理公司是顺应中国出口国际快件市场变化而诞生兴起的新型快件服务商，公司主要为大中小型各类国内国际快件公司及国际网购\大型外贸出口公司等国际快件产品多,运输成本高，时效按排不合理，信息不通畅等企业，提供国际快件价格信息咨询，运输方式，运输渠道的管理等服务""为经营目标的事业共同体，公司收购中国市场最大的欧洲经济包裹服务商．整合市场资源为客户提供最佳的解决方案．上海精鲲国际国际货运代理公司是以国际快递为主营业务的国际货运代理公司，目前在欧洲、美国等国家已有完善优秀的合作团队。专业化的经营团队加上先进的管理模式，迅速成长为中国民营专业国际快递及快件方案供应商中的姣姣者，并以中欧快件为基础，构建起北京、上海、广州、深圳、香港、法兰克福、阿姆斯特丹、洛杉矶、纽约为中心的国际快件集散中心，向全球客户提供快速、安全、优质的服务。"
上海邦诺物流有限公司,"上海邦诺物流有限公司主要经营海运、空运、陆运、铁路及相关进出口货物的国际运输代理业务，包括：揽货、订舱、仓储、中转、集装箱拼装拆箱、报关报检、短途运输服务及咨询业务。邦诺公司是由长期从事国际货运的同仁经过不断积累和摸索，共同组建的公司.现已全部实现了计算机管理，不但内部建立了局域网，同时与海关、港区、理货及相关船公司联网，对货物进行实时监控。公司已汇集和培养了一批精干务实、员工队伍稳定的团队。通过不断开拓海内外市场，实施经营规模化、功能多元化的国际性战略步骤，逐步建成一个实力雄厚、功能齐全，具有市场竞争优势的能与上海国际航运中心相匹配的综合物流公司。“信字为先可安邦,四海通达能应诺;道义为重可定国,五洲睦邻全无际.”邦诺公司一贯秉承专注、专业、高效的服务理念，坚持以客户为中心，使客户获益、让客户满意的宗旨，凭借广泛迅捷的信息网络，竭诚为海内外客户提供正确、及时、文明、周到的综合物流服务。shsdxd@163.com"
上海新邦物流服务有限公司昆山分公司,新邦物流有限公司是集代理国际国内航空货运出港、物流配送、航空速递、汽车运输、铁路运输、仓储、城际配送于一体，跨区域、网络化、信息化、智能化、具有供应链管理能力的综合性物流公司，现旗下拥有十个全资子公司，及一百多个分公司及营业部门。公司现有员工近3000多人，拥有和整合各种运输车辆500多台，先进的物流设备100多套，仓库、分拨场地10万平方米，年吞吐能力50万吨。并在全国20多个省、市、自治区近200个大中城市建立了合作网络公司，与国内外10000多家企业建立了长期的合作关系。新邦物流凭着稳定、可靠、安全的运营网络、科学的资源整合、先进的管理技术，可为各类企业提供全方位的物流服务，我们将一如既往地坚持“以客为本、服务领先”的经营理念，为客户提供门对门、仓对仓的一站式服务。
英捷物流上海货运中心,"英捷物流上海货运中心本部设于上海市，形成了以枢纽城市为核心、覆盖全国的物流服务体系。自创立伊始，公司就瞄准国内蓬勃发展的现代物流产业，把物流和物流供应链方案设计等发展现代物流确定为公司经营的基本方向。把物流做深、做透，公司制定了依托物流的深度开发，建立适应市场竞争并不断发展的物流配送服务体系，走产品领先、行业领先、品牌领先之路，拥有一批忠诚的客户群和较高的市场占有率。英捷物流上海货运中心车源丰富，运力雄厚,可为您的货物能够安全、准时送达目的地提供可靠的保证。让客户更省时、更省力、更省钱是英捷物流上海货运中心人孜孜不倦的追求，更安全，更快捷，更方便是英捷物流上海货运中心人对每一位客户真城的承诺，准时发车，昼夜服务，微笑待客，是我们一贯的准则。英捷物流上海货运中心愿与您全心合作，携手并进，共创未来！"
山东潍坊交运中心上海分公司,"山东潍坊交运中心上海分公司本部设于上海市，形成了以枢纽城市为核心、覆盖全国的物流服务体系。自创立伊始，公司就瞄准国内蓬勃发展的现代物流产业，把物流和物流供应链方案设计等发展现代物流确定为公司经营的基本方向。把物流做深、做透，公司制定了依托物流的深度开发，建立适应市场竞争并不断发展的物流配送服务体系，走产品领先、行业领先、品牌领先之路，拥有一批忠诚的客户群和较高的市场占有率。山东潍坊交运中心上海分公司车源丰富，运力雄厚,可为您的货物能够安全、准时送达目的地提供可靠的保证。让客户更省时、更省力、更省钱是山东潍坊交运中心上海分公司人孜孜不倦的追求，更安全，更快捷，更方便是山东潍坊交运中心上海分公司人对每一位客户真城的承诺，准时发车，昼夜服务，微笑待客，是我们一贯的准则。山东潍坊交运中心上海分公司愿与您全心合作，携手并进，共创未来！"
莉辰货运,莉辰货运经过拼搏、发展、转型，现定型为专业从事货运代理、仓储、配送、流通加工、信息处理的物流企业，运输网络覆盖全国各大中小城市，服务的行业涉及工业、农业、林业、服务业等各领域。公司天天发车，保障货物安全及时到达，并向全国各地进行整车、零担货物配送。莉辰货运人深知物流活动的最大作用，并不仅仅在于为企业节约了消耗，降低了成本或增加了利润，更重要的是提高客户的服务水平进而提高企业的竞争力。公司自创立以来，始终重视企业文化的积淀、企业声誉和口碑的远播以及专业从业人员的培养。莉辰货运人具备专业的物流知识和丰富的企业管理经验，能够为客户量身设计物流规划方案等一系列服务从而满足客户多样化、差异化和个性化的需求。多年来，公司以真诚的服务赢得了一批忠实客户并建立了长期物流战略合作伙伴关系。公司弘扬“诚信、快捷、安全”的企业精神，秉承“信誉第一、质量第一、客户第一”的服务忠旨，一切从实际出发，充分为客户利益着想的企业理念，诚心诚意为客户做好每件事，并为客户提供完善的供应链管理及物流咨询服务。
山东菜都联运公司(山东专线),山东菜都联运公司(山东专线)是一家集公路、包装、仓储为一体的第三方物流服务性企业，在全体员工的共同努力下，山东菜都联运公司(山东专线)人积累了丰富的管理模式和运输经验，逐渐转变服务理念，提高服务水准，创造出了巨大的行业价值。赢得了新老客户的一致好评！经过公司全体员工的不懈努力，现拥有多种车辆和分部及车队。货物运输安全准时到达指定地点，以百分之百的服务热情迎接每一位客户。山东菜都联运公司(山东专线)按货物合同配载，直送直达，保证为客户提供所需车型。山东菜都联运公司(山东专线)车辆一流，运力雄厚，确保高质量完成每一次运输任务。我们会把客户的业务按承诺完成和提高客户的价值而不懈努力，让客户放心；山东菜都联运公司(山东专线)为每一位员工的发展和提高而努力，让员工分享公司的成功，让客户放心!
上海双佳物流有限公司,上海双佳物流有限公司致力于建立一个完善的、快速的、准时的、高效率的全国性物流企业。上海双佳物流有限公司本着：“以专业化的运作方式，赢得客户的信赖”、“以经营信誉和人才，赢得企业的持续发展”的全新经营理念和“为客户创造价值，为员工创造收益，为社会创造财富”的企业宗旨向目标的不懈前进。一、上海双佳物流有限公司的优势1、高素质的经理人管理队伍及具有丰富实践经验的技术人员2、制定详细的业务流程和服务规范，确保为客户提供全面规范的物流服务。3、完备的管理体系，包括人才培养和选拔的培训制度，确保公司的管理人员时刻同物流发展的方向保持一致，保证公司理念和技术上的领先地位。二、上海双佳物流有限公司的服务1、物流策划和咨询可为客户提供个性化的物流解决方案。为客户提供物流咨询、个案分析，物流方案评估与再设计。也可为同行或客户提供技术支持、网络支持，管理支持和物流专业人员的培训服务。2、供应链管理可为客户提供供应链管理服务，即从原材料采购、生产流程中原材料及零部件上线供应服务，到成品的管理、包装、分拣、储运、中转、配送，以及帮助客户对营销渠道的建立与维护，信息反馈等提供一条龙服务。
东方海外物流（中国）有限公司宁波分公司,
上海展濠国际货运代理有限公司,公司经中国政府获准成立于2005年1月，凭借优良资源及进取理念，吸引了众多优秀专业人才，组建了从业10年以上拥有丰富经验的专业团队。在中国境内相继成立多家分支机构，并在香港设立办事处。为客户提供空运、海运、联运、物流等全方位的专业化高质量服务。
上海荣辉物流有限,
上海浦东东超物流有限公司,上海浦东东超物流有限公司是具有国家颁发化学危险品运输资质的第三方物流服务供应商，经过多年的发展，东超物流公司已经形成了以货物储存与运输、特种货物（危险品、剧毒品）储存与运输、保税和非保税的仓储与运输以及提供集成化的供应链管理与运作为核心业务，以第三方物流运作方案咨询及供应链整合为特色的成熟运作模式，为不同的客户提供全程供应链整合方案，凭借着我们的专业服务水平，我们为客户提供高效的第三方物流服务及各项增值服务，包括了我们免费的物流咨询服务。在高质量的服务基础上，我们通过创新的供应链整合方案，尽力为客户降低物流运作成本以及运作效率，同时不断的提高客户物流运作的一致性和可靠性。我们拥有大量经验丰富的物流设计人员及运作服务人员，为客户提供创新、高效、无缝的供应链管理方案来满足客户不断增长的需求。我们的业务涵盖了进出口关务、仓储、换包装、贴标签、内陆整车及零担运输服务、RDC建设等，并用我们的技术、管理和服务与我们客户达到双赢的最终目标。我们的宗旨——关注客户需求，不断创新服务，为客户提供安全、高效、便捷、优质的物流服务。
上海逸荣国际货物运输代理有限公司,"上海逸荣国际货物运输代理有限公司上海逸荣国际货物运输代理有限公司www.yirongguoji.com（ShanghaiyirongInternationalFreightForwardingCo.,Ltd）以下简称逸荣国际，是经国家外经贸委批准的、在国家工商行政管理局备案注册成立的专业国际货运代理企业,为客户提供综合性物流服务。多年来，逸荣国际一直致力于为您设计简约的、个性化的物流解决方案，从而提供更加便捷、更加高效、更加无微不至的物流增值服务，使您足不出户而能感受到逸荣国际带给您实惠的、细致的关怀。在广大客户的鼎力支持下，逸荣国际不断发展壮大，相继在上海口岸的吴淞海关、外高桥海关、外高桥保税区、浦东机场设立了分支机构；各分支机构实行统一网络管理平台，信息共享、高效联动；高素质的专业报关队伍，从容处理报关流程；不断完善的出口操作流程，使您货物从装箱、报关、出运流畅；6000平方的大型内装仓库有能力处理内装箱、打托、贴麦等衍生服务；训练有素的集卡车队，完全有能力满足您的运输需求。"
上海龙亨物流,
上海华商纵横物流投资有限公司,
上海亚宇（品发 ）货运公司,上海亚宇（品发）货运公司是专业从事公路运输，货物托运，行李打包、行李托运、长途搬家、仓储等综合性服务，目前以在全国各地建立了自己物流服务网点。自公司成立以来，不断创新，经多年的努力，历经市场的考验，现已逐步深得众多新老客户和货运同行的信赖和认可。力争安全快捷，诚信服务，绝对是你理想的寄托，公司有自己的运输车队，市内小型短驳车，1吨-30吨平板及加长厢型车，为您服务。
江苏省宝江运贸有限公司,
上海新威自动化工程公司,
上海宝升国际货运有限公司,上海宝升国际货运有限公司上海宝升国际货运有限公司是国家经贸部批准的一级国际货运代理企业，企业宗旨：守信、求实、勤奋、开拓。本着一切为客户服务的原则，全方面配合您的工作！海运运费优惠，月结。危险品，化工品整柜进出口。空运美国包板，其他线价优。车队车多费少仓库一般仓库/保税仓库/物流园仓库商检换单/进出口报关：快速高效海外代理网络广：代理分单
上海崴立物流有公司,
上海安闵物流有限公司,"安闵物流有限公司成立于2005年，是经主管部门批准的专业性运输企业，总公司位于闵行区并在上海各区设立分支机构。公司拥有大型平板车96部，可承接20-200吨超重及30米超长、超宽、超高货物、运输实力雄厚、经验丰富、安全可靠、本公司拥有多年从事专业起重的管理人员及高素质的驾驶员队伍，在大件运输市场中，安闵物流企业具有一定的规模和实力。企业在运输行业竞争激烈的市场中，本着服务功能逐步完善,经营业务不断扩展策略,以步步为营,稳扎稳打,循序渐进,全面开花地在全国各地设立网点的目标,目前已在南京，上海，北京等地成立具有独立法人经营的《南京安闵大件运输有限公司》，《上海安闵物流有限公司》，安闵企业以良好的信誉，真诚的服务，现代化的管理模式和先进的物流手段及优惠合理的价格，取得了一定的社会效益，受到了用户的肯定，在运输行业中占有一席之地。安闵物流企业除承接大型设备的长，短途运输外，并为了广大客户提供存放业，公司拥有10000平方米的存放地，适用于多类工程机械的存放，仓储，配套设施齐全，管理完善。"
上海林茂物流有限公司,
一洲货运有限公司,
上海同乐物流有限公司,
华宇物流,
太平名威物流有限公司,
上海华环物流有限公司,
上海明乾物流有限公司,
上海达乐物流有限公司,
上海缘鹏货物运输代理有限公司,
华商纵横物流投资有限公司,
上海贺达国际物流有限公司,
嘉兴五洲华宇物流有限公司,
熙可物流,
华俊物流,
上海英脉物流有限公司,上海英脉物流有限公司于2004年5月成立，是一家集运输、仓储、配送、包装、信息提供为一体的专业化物流企业。公司经过多年的实践，借鉴国内外先进的物流管理理念，结合自身实际，与国内知名物流系统集成商合作开发了适应自身发展的TMS/WMS运输、仓储物流管理平台，使公司在操作、信息获取、财务管理等方面上了一个新台阶。公司现有可调用的各类自有及社会运输车辆500多台，仓储面积10000多平方，从业人员100多人。在上海、石家庄、北京、天津、广州分别建有分公司，可以为不同客户提供市内及周边城市的配送、仓储服务。同时可以为客户全天24小时提供货物在途信息网上查询。可以满足不同客户个性化的服务要求。为客户降低库存成本、节省流动资金、实现效益最大化。公司一直为松下电工、先锋电子、巴斯夫、达能、西班牙法格、康那香等一大批跨国公司进行物流服务。我们在电子、医药、化工、快速消费品物流方面积累了丰富的实际操作经验。公司一直致力于打造全新数字化物流新概念。让客户与我们一同分享数字化物流带给我们的快乐。我们对服务的每一个细节进行量化，对每一个环节进行管控。懂得沟通是我们与客户保持长期稳定关系纽带。2006年我们已通过国际权威认证机SGSISO9001:2000质量管理体系认证。这为我们保证产品及时供货提供了又一个强有力的保证。我们愿服务于每一个希望降低物流成本增加配送速度实现零库存的企业。公司恪守“客户致上、质量第一、以人为本、持续创新”的质量方针，坚持以物流服务为中心，以各级客户为依托，创建配送、运输、仓储、包装、信息提供一体化物流管理体系。加强对内外部资源的整合，提高全公司的综合物流运作水平。塑造专业化的物流企业形象。
上海元瀚国际货运代理有限公司,
上海云润国际货运代理有限公司,
上海盛飞物流有限公司,
邹阳物流有限公司,
上海仁祥物流有限公司,
上海京克汽车运输有限公司,上海京克汽车运输公司是一家经工商和交通部门核准经营的综合性物流运输公司，同时代理货物运输保险业务。本公司自一九九八年创建以来，经全体员工不懈努力、不断进取，现拥有全封闭、箱式及专用危险品车辆达三十余辆，每天的货物运输量在百吨以上，主要客户涵盖了独资、合资、国有、集体及私营企业，运输产品包括机械、化工、建材、型材、电子、电器、日用品及卫生用品；强有力的运输路线：上海至北方（以北京、天津、石家庄及东北三省为主线），上海至西北（以西安、兰州、西宁及乌鲁木齐），南方（上海至江西、湖南、广东及广西），东南（上海至浙江及福建）。装卸设备齐全，其它主要城市均有卸货地点，与全国近千家企事业单位建立了长期稳定的运输合作伙伴关系，在现代化物流的大趋势下，公司以性能优良的车辆为基础，以雄厚的经济实力和精锐的专业人才为后盾，根据客户的要求，提供合理的运输方式，为您节省更多的时间和金钱，以优质、安全、高效率服务方式，使公司迅速被社会各界同仁认可。企业外部良好的形象与内部完美的管理相结合，使企业的知名度日益提高。我公司一向秉持”货源就是生命，客户就是上帝“的经营思想，积极的为客户提供安全、准确、快速、便捷的满意服务。
上海田更（TAG）货运,
上海正流国际运输代理有限公司,
上海红普物流有限公司,
井穿物流,
格林福德国际物流深圳公司,
上海聚亨物流,聚亨物流有限公司是经上海市政府部门，市交委批准成立的一家民营股份制企业。上海聚亨物流成立于中国物流业蓬勃发展时期，并为中国物流协会会员单位。聚亨物流在激烈的商海中，始终坚持以客户为中心、服务为宗旨、人才为保障、效益为根本的经营理念，以区域物流中心网络结点，建立快速、高效、优质的物流运输网络，形成国内物流服务网络覆盖，提高物流服务的快速反应能力和对物流资源整合能力，并通过与社会优势资源联盟来保障对客户提供优质的物流服务，提供全面的供应链物流服务和产品物流分拨、物流配送、仓储中转、分拣包装和多式联运系列化服务。我司已在北京、广州、常熟、郑州、深圳、中山、佛山、武汉、重庆、成都等地区成立分公司。在全国30多个城市设立了办事处，与60多家同行公司合作，服务范围达100多个城市，各地区间分别设有仓库，配有各种车辆80多辆（包括合同车队），可满足客户24小时全天候出车需要。同时，聚亨物流倡导以人为本、机智灵活的管理体制和人才体制，吸引了众多的专业人才，组建了聚亨物流具有高度团队合作精神和凝聚力的团队。聚亨物流的客户有德国汉高化工、丽声音响、统一食品、日清食品、美国罗门哈斯化工、长江摩托、旁氏化妆品、广州松浩设备、东莞高点家具、宝华家具、耀邦家具、深圳力昌家具、真荣家具.丹尼诗沙发、广州力盟家具、康升家具、佛山鹰牌卫浴、联邦家私、等公司。由此打造了广东（珠三角）---上海（长三角）、常熟、昆山的精品专线、广州---郑州的特快专线。以及上海至苏州、无锡、常州、南京，广州至佛山、东莞、深圳、中山、珠海等城市的短途陪送。提供全程的门到门服务。伴随着中国加入WTO，国内第三方物流行业面临新的机遇和挑战。聚亨物流致力于本企业服务品质的提升和打造品牌战略的发展，提高行业的服务水平，从而最终实现服务价值观，创益于我们的客户，更好的服务于社会。
华东中海物流武汉分公司,
上海伊曼尔国际货运代理有限责任公司,
中铁物流（上海）有限公司,
上海龙鹤物流有限公司,
家乐物流,
上海力诚物流有限公司,
上海鼎兴物流有限公司,
上海天翼物流有限公司,"本公司成立于2000年,是一家集铁路,公路快慢件运输的专业物流公司本公司通过（ISO9001国际质量管理体系认证）经上海市陆上运输管理部门审核，取得工商行政注册在上海的经营权，经上海地区政府核发《经营许可证》《企业法人经营执照》《税务登记证》的合法企业，敬请广大客户放心与本公司合作。本公司从事上海至全国各地区城市的整车零担长途货物回程配载业务，与全国各地单位及来沪的车辆均建立了良好的信誉，形成网络化经营，受广大新老客户的信赖和支持。本公司备有1.5吨、3吨、5吨、（7.2-8m）、8吨（9.6m）、10吨（2.5-13.5m）、20吨、25吨以上及超宽、超长、超重车辆供您调指使用。取车价位低廉、收费公道合理、安全可靠、上门提货、专人押证、快捷方便，当天托运按时到货，托运、全程负责，如如货物发生损失，由本公司以法人资格进行经济赔偿，以保险公司核算为准，请贵单位伸出热情的手，拨打本公司的电话：,57311358,,，敬请垂询，24小时为您服务，希望通过一次合作，成为永久的朋友。公司服务理念：信誉+质量=成功你的要求我的追求真诚合作共同发展互惠互利共创辉煌"
上海川威物流有限公司,
上海荣誉物流有限公司,公司在全国主要交通枢纽城市设有分支机构40余家，现有集装箱堆场面积120多万平方米，各种运输车辆1000余台，仓库20多万平方米，另有9条铁路专用线和若干公路配货网点。在内地重点城市重庆、成都、常州、武汉、乌鲁木齐、霍尔果斯等地均建有大型集装箱中转站，在沿海主要港口设立了集装箱进出口中转代理机构。公司以创新的企业经营理念和企业文化为先导，在全系统树立“客户的需求就是我们工作的出发点”的经营理念和“安全、高效、准确、规范”的工作准则。核心业务●铁路集装箱运输公司稳步发展铁路集装箱五定班列业务，独家或与相关单位合作开行重庆——上海/青岛、成都——深圳、厦门——武汉、哈尔滨——武汉等多条班列和技术直达专列。●国际货代和海铁联运公司分布在全国各主要港口城市及重点城市的专业货运代理机构，依托重庆--上海/青岛、常州—上海、成都—深圳等多条铁路集装箱班列及海关监管车队和海关监管堆场，为客户开辟畅通无阻的海铁联运通道。●综合物流服务及供应链管理公司为客户提供集仓储、运输、配送、信息化管理于一体的整套物流解决方案和综合物流服务。●公路运输公司依托高速公路网，逐步建立完整畅顺的国内城际干线运输快速通道，通过以城市为中心向全国各地区集中配送服务体系、区域型的集中配送体系和对点城市的公路干线运输三种模式相结合。
上海原赋物流有限公司,上海原赋物流公司是经过上海市人民政府交通办公室，陆上运输管理处、上海市工商行政管理局，税务局等上级主管部门严格审批，核准的具有公路营运资格，正规的上海市大型物流企业。上海原赋物流公司主要经营上海至全国各地的公路、铁路往返货物的运输业务，代办保险，同时提供超一流的货物包装及现代化仓储、物流服务。上海原赋物流公司自备各种车型的长途物流车辆86辆，并在全国30个重要省、市设立了分公司。在多年的物流经营中，经过严格考核，挑选出全国各地80家合法的、信誉好的大型物流企业签定了联运合同，进行联网经营。所以上海原赋物流公司能严格保证在全国各地有充足的车源，随时可以调配，您只要有货，无论何时、何地，原赋物流公司就能立即、就地提供免费上门提货，安全、可靠、快速直达的货运服务。上海原赋物流公司的物流网络，立足上海，覆盖全国。车辆一流，运力雄厚，管理严谨。公司严格按照ISO9002质量体系标准要求，进行“PDCA”式循环质量管理，全员参与，全面透彻，相互监督，全程监控。把服务质量意识，深入到公司的每个角落，确保高质量完成每一次运输任务。上海原赋物流公司在不断创立最佳服务质量信誉，最佳企业形象的同时，超前完成了设备更新，人才培养的工作。现公司已造就了一支精力充沛、技术娴熟、经验丰富的驾驶员队伍。和以“顾客至上”为理念的资深物流管理专家及认真敬业的工作人员，阵容强大，管理严格。上海原赋物流公司实力雄厚，经营专业，随时以超一流的车辆，365天全天候提供超一流的门对门货物运输、包装、仓储、物流等超值服务。本公司的宗旨是：以最优质的服务，赢得客户；以最低廉的价格，吸引客户。一票托运，全程无忧。。本公司的指导思想是：客户的满意和信赖是我们永恒的追求
